Area,Country,WL Co,Category 1,Category 2,Success Story,Page
Asia,Vietnam,SLB,Sensor Orientation,,High side pretesting provides 20x greater permeabilities in Vietnam,2
North America,Gulf of Mexico,HAL,Sticking Prevention,Sensor Orientation,Formation sampling with extreme overbalance in the Gulf of Mexico,3
Middle East,Kuwait,SLB,Well Access: Deviation,Well Access: Ledges,Successful wireline logging in difficult boreholes in Kuwait,4
Europe,Azerbaijan,BHI,Well Access: Ledges,,Holefinder success saves millions for operator in Azerbaijan,5
Middle East,Iraq,SLB,Well Access: Ledges,,Drill-pipe conveyed logging unable to pass ledge in Iraq,6
Middle East,UAE,SLB,Well Access: Deviation,,Successful open hole wireline logging to 79° deviation in UAE,7
Middle East,UAE,SLB,Well Access: Deviation,Sensor Orientation,Array Sonic perfectly centralized on Tool Taxi wheels in UAE,8
Middle East,UAE,SLB,Sticking Prevention,Sensor Orientation,Petromac Wireline Express eliminates CMR stick-slip in UAE,9
Latin America,Trinidad,SLB,Sticking Prevention,Sensor Orientation,Tool Taxis preventing OBMI image rotation in Trinidad & Tobago,10
Middle East,Iraq,SLB,Sticking Prevention,Sensor Orientation,Positive orientation provides 100% FMI image coverage in Iraq,11
Asia,New Zealand,SLB,Sticking Prevention,Well Access: Deviation,NGI Logged over 2400m section at 67° deviation in New Zealand,12
North America,Gulf of Mexico,SLB,Well Access: Deviation,Sensor Orientation,Oriented coring avoids wellbore damage in the Gulf of Mexico,13
Latin America,Mexico,HAL,Well Access: Deviation,,Elimination of PCL saves 8 days of rig time in Mexico,14
Latin America,Mexico,HAL,Well Access: Deviation,Sticking Prevention,Smooth MRIL-XL logging at extreme deviations in Mexico,15
Europe,Norway,HAL,Well Access: Deviation,,CAST-CBL successfully deployed to 82° deviation in Norway,16
Africa,Nigeria,SLB,Well Access: Deviation,Sticking Prevention,Hermes Drag Planner convinces client to run MDT in Nigeria,17
Asia,New Zealand,SLB,Well Access: Deviation,Sensor Orientation,High quality X-Y density data in deviated wellbores in New Zealand,18
Latin America,Mexico,HAL,Well Access: Deviation,,Oriented HRSCT: Optimum sidewall-core recovery in Mexico,19
Asia,Malaysia,HAL,Well Access: Deviation,Sticking Prevention,MRIL-D conveyance in highly deviated casings in Malaysia,20
Middle East,Kuwait,SLB,Well Access: Deviation,Well Access: Ledges,World Record: 6” wireline logging to 72° deviation in Kuwait,21
Middle East,KSA,SLB,Well Access: Deviation,Sensor Orientation,Cement Evaluation without centralizers to 85° deviation in KSA,22
Middle East,KSA,SLB,Well Access: Deviation,Sensor Orientation,"World Record: Longest 9-5/8"" cement evaluation in a lateral wellbore - 20kft+ of tractoring in KSA",23
Middle East,KSA,SLB,Well Access: Deviation,Sensor Orientation,World Record: Longest open-hole tractor logging operation completed in KSA,24
Middle East,KSA,SLB,Well Access: Deviation,Sensor Orientation,Supercombo on wireline saves over 20hrs of rig time in KSA,25
Middle East,KSA,SLB,Well Access: Deviation,Sensor Orientation,Tractor Assist of Super-Combos on wireline replaces Drill pipe Conveyance as the standard conveyance setup in KSA,26
Latin America,Mexico,SLB,Well Access: Deviation,,"CBL successfully descended a 2,500 long tangent at 67° in Mexico",27
Asia,New Zealand,SLB,Well Access: Ledges,,Pathfinder: A success story from New Zealand,28
