Date,Country,Location,Region,Operator,Wireline Company,Well,Mud,Open Hole /Cased Hole,Bit size / Csg size [inches],Depth [m],Temperature (degC),Deviation,Dif. Pressure [psi],DLS          [deg/30m],Main Application,Toolstring,Probe/Coring Bit Orientation,System,Jar included in the Toolstring,Successful ,Unsuccessful - Downhole Conditions,Unsuccessful - Wrong Setup,Jar Activation,Remarks,Hole Size Group,Depth Group,Temperature Group,Deviation Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-13,New Zealand,New Plymouth,APAC,MRP,SLB,A,WBM,OH,8.5,2500,,9,,,Ledges,PEX-AIT,,Wireline Express,,1,0,0,,"Geothermal well, numerous ledges. ENP",8-10,2000m-4000m,<110,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-13,New Zealand,New Plymouth,APAC,TAG,SLB,B,WBM,OH,8.5,2600,,60,,,Deviation,PEX-DSI-AIT,,Wireline Express,,1,0,0,,First oil well logged with Petromac system. ENP,8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-13,New Zealand,New Plymouth,APAC,TAG,SLB,C,WBM,OH,8.5,4200,,0,,,Ledges,CMR-ILE-PPC,,Wireline Express,,1,0,0,,Borehole breakout with ledges at coal measures. ENP.,8-10,4000m-6000m,<110,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-14,New Zealand,New Plymouth,APAC,ORIGIN,SLB,D,WBM,OH,8.5,1220,,47,,,Ledges,PEX(AIT)-BHC,,Wireline Express,,1,0,0,,,8-10,<2000m,<110,40-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-14,New Zealand,New Plymouth,APAC,TODD,SLB,E,SOBM,OH,6.125,4850,,0,,,Ledges,CMR,,Wireline Express (In-Line),,1,0,0,,Borehole breakout with ledges at coal measures,<8,4000m-6000m,<110,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-14,New Zealand,New Plymouth,APAC,TAG,SLB,F,WBM,OH,8.5,2450,,55,,,Deviation,PEX-BHC-HRLA,,Wireline Express,,1,0,0,,"Reverse azimuth- 30deg W, sidetracked 55deg E.",8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-14,New Zealand,New Plymouth,APAC,TAG,SLB,G,WBM,OH,8.5,1900,,44,,,Deviation,PEX-BHC-HRLA,,Wireline Express,,1,0,0,,8 Tool Taxis.  Tool drag coefficient 0.22.,8-10,<2000m,<110,40-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-14,New Zealand,New Plymouth,APAC,TAG,SLB,H,WBM,OH,8.5,2500,,52,,,Deviation,PEX-BHC-HRLA,,Wireline Express,,1,0,0,,1800m tangent section,8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-14,New Zealand,New Plymouth,APAC,KEA,SLB,J,WBM,OH,8.5,2300,,55,,,Deviation,PEX(HRLA),,Wireline Express,,1,0,0,,Difficult well.  Numerous pump breakdowns while drilling.,8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-14,New Zealand,New Plymouth,APAC,KEA,SLB,J,WBM,OH,8.5,2300,,55,,,Ledges,DSI-FMI,,Wireline Express,,1,0,0,,Carbon fibre custom FMI holefinder,8-10,2000m-4000m,<110,50-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
